Stage,Class_ID,Node_Count,Nodes
1,0,1,Constant(Bool(true))
1,1,1,Column($7.15)
1,2,1,Column($7.14)
1,3,1,Column($7.13)
1,4,1,Column($7.12)
1,5,1,Column($7.11)
1,6,1,Column($7.10)
1,7,1,Column($7.9)
1,8,1,Column($7.8)
1,9,1,Column($7.7)
1,10,1,Column($7.6)
1,11,1,Column($7.5)
1,12,1,Column($7.4)
1,13,1,Column($7.3)
1,14,1,Column($7.2)
1,15,1,Column($7.1)
1,16,1,Column($7.0)
1,17,1,"List([16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1])"
1,18,1,Table($7)
1,19,1,"Scan([18, 17, 0])"
1,20,1,Constant(Date(Date(10490)))
1,21,1,"LtEq([6, 20])"
1,22,1,"Filter([21, 19])"
1,23,1,RowCount
1,24,1,Count(10)
1,25,1,Sum(10)
1,26,1,Count(11)
1,27,1,Count(12)
1,28,1,Constant(Int32(1))
1,29,1,"Add([28, 9])"
1,30,1,"Sub([28, 10])"
1,31,1,"Mul([11, 30])"
1,32,1,"Mul([31, 29])"
1,33,1,Sum(32)
1,34,1,Sum(31)
1,35,1,Sum(11)
1,36,1,Sum(12)
1,37,1,"List([36, 35, 34, 33, 27, 26, 25, 24, 23])"
1,38,1,"List([8, 7])"
1,39,1,"HashAgg([38, 37, 22])"
1,40,1,"Order([38, 39])"
1,41,1,Ref(23)
1,42,1,Ref(24)
1,43,1,Ref(25)
1,44,1,"Div([43, 42])"
1,45,1,Ref(26)
1,46,1,Ref(35)
1,47,1,"Div([46, 45])"
1,48,1,Ref(27)
1,49,1,Ref(36)
1,50,1,"Div([49, 48])"
1,51,1,Ref(33)
1,52,1,Ref(34)
1,53,1,"List([8, 7, 49, 46, 52, 51, 50, 47, 44, 41])"
1,54,1,"Proj([53, 40])"
