Stage,Merge_Count
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,52
2,91
3,843
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,52
2,91
3,843
