Stage,Merge_Count,HC_Size,Num_Classes
0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
0,0,14,14
1,0,14,14
2,0,14,14
3,0,14,14
0,0,10,10
1,0,10,10
2,0,10,10
3,0,10,10
0,0,15,15
1,0,15,15
2,0,15,15
3,0,15,15
0,0,15,15
1,0,15,15
2,0,15,15
3,0,15,15
0,0,11,11
1,0,11,11
2,0,11,11
3,0,11,11
0,0,9,9
1,0,9,9
2,0,9,9
3,0,9,9
0,0,13,13
1,0,13,13
2,0,13,13
3,0,13,13
0,0,22,22
1,0,22,22
2,0,22,22
3,0,22,22
0,0,130,130
1,3035,3699,648
2,134,267,125
3,5302,7101,1746
