Class_ID,Node_Count
0,1
1,1
2,1
3,1
4,1
5,2
6,1
7,2
8,2
9,1
10,2
11,1
12,1
13,1
14,1
15,1
16,2
17,1
18,1
19,1
20,1
21,2
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,1
31,1
32,1
33,1
34,2
35,1
36,2
37,2
38,1
39,1
40,1
41,1
42,2
43,2
44,1
45,1
46,1
47,2
48,2
49,1
50,1
51,2
52,1
53,2
54,3
55,2
56,2
57,2
58,1
59,1
60,3
61,2
62,1
63,1
64,2
65,2
66,1
67,1
68,2
69,1
70,1
71,2
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,2
82,3
83,2
84,3
85,1
86,5
87,1
88,3
89,2
90,1
91,2
92,1
93,1
94,1
95,1
