Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
3,0,60,60,and-comm,2
3,0,60,60,and-assoc,1
3,0,60,60,filter-split,1
3,0,60,60,inner-hash-join-swap,1
3,0,60,60,hash-join-on-one-eq-rev,2
3,0,60,60,pushdown-proj-order,1
3,0,60,60,pushdown-proj-filter,1
3,0,60,60,pushdown-proj-hashagg,1
3,1,72,82,eq-comm,2
3,1,72,82,and-true,2
3,1,72,82,and-comm,4
3,1,72,82,and-assoc,1
3,1,72,82,filter-split,4
3,1,72,82,inner-join-swap,1
3,1,72,82,hash-join-on-one-eq-rev,3
3,1,72,82,pushdown-filter-proj,1
3,1,72,82,pushdown-join-condition-left,2
3,1,72,82,pushdown-join-condition-right,2
3,1,72,82,identical-proj,3
3,1,72,82,pushdown-proj-order,1
3,1,72,82,pushdown-proj-join,2
3,2,82,121,and-comm,2
3,2,82,121,filter-true,4
3,2,82,121,filter-merge,5
3,2,82,121,filter-split,4
3,2,82,121,inner-join-swap,1
3,2,82,121,hash-join-on-one-eq,2
3,2,82,121,hash-join-on-one-eq-1,3
3,2,82,121,pushdown-filter-proj,1
3,2,82,121,pushdown-join-condition-left,2
3,2,82,121,pushdown-join-condition-right,2
3,2,82,121,identical-proj,7
3,2,82,121,pushdown-proj-filter,4
3,3,87,172,and-true,4
3,3,87,172,and-comm,4
3,3,87,172,and-assoc,6
3,3,87,172,filter-true,1
3,3,87,172,filter-merge,9
3,3,87,172,filter-split,12
3,3,87,172,pushdown-filter-proj,8
3,3,87,172,identical-proj,4
3,3,87,172,pushdown-proj-filter,5
3,4,86,238,and-true,4
3,4,86,238,and-comm,4
3,4,86,238,filter-true,1
3,4,86,238,filter-split,15
3,4,86,238,inner-join-swap,1
3,4,86,238,pushdown-filter-proj,11
3,4,86,238,pushdown-proj-filter,2
3,5,77,272,filter-true,3
3,5,77,272,filter-split,1
3,5,77,272,pushdown-proj-filter,1
3,6,75,275,filter-true,1
3,7,74,275,None,0
