Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,2,0,84,84,mul-comm,1
2,2,0,84,84,eq-comm,9
2,2,0,84,84,ge-comm,2
2,2,0,84,84,and-comm,6
2,2,0,84,84,and-assoc,1
2,2,0,84,84,or-comm,1
2,2,0,84,84,pushdown-join-condition-left,1
2,2,0,84,84,pushdown-join-condition-left-1,1
2,2,0,84,84,pushdown-join-condition-right-1,1
2,2,0,84,84,pushdown-proj-order,1
2,2,0,84,84,pushdown-proj-hashagg,1
2,2,0,84,84,pushdown-proj-join,4
2,2,1,105,134,and-comm,2
2,2,1,105,134,and-assoc,5
2,2,1,105,134,filter-true,2
2,2,1,105,134,pushdown-filter-inner-join,1
2,2,1,105,134,pushdown-join-condition-left,2
2,2,1,105,134,identical-proj,9
2,2,1,105,134,pushdown-proj-order,1
2,2,1,105,134,pushdown-proj-hashagg,1
2,2,1,105,134,pushdown-proj-join,2
2,2,2,105,165,and-true,1
2,2,2,105,165,and-comm,11
2,2,2,105,165,and-assoc,6
2,2,2,105,165,filter-merge,1
2,2,2,105,165,pushdown-filter-proj,2
2,2,2,105,165,pushdown-filter-inner-join,2
2,2,2,105,165,pushdown-join-condition-left,4
2,2,2,105,165,pushdown-join-condition-left-1,1
2,2,2,105,165,pushdown-join-condition-right-1,2
2,2,2,105,165,identical-proj,6
2,2,2,105,165,pushdown-proj-join,1
2,2,3,108,210,and-comm,12
2,2,3,108,210,and-assoc,18
2,2,3,108,210,filter-merge,2
2,2,3,108,210,filter-split,5
2,2,3,108,210,pushdown-filter-proj,4
2,2,3,108,210,pushdown-filter-inner-join,5
2,2,3,108,210,pushdown-join-condition-left,4
2,2,3,108,210,pushdown-join-condition-right,2
2,2,3,108,210,pushdown-join-condition-right-1,1
2,2,3,108,210,pushdown-proj-join,1
2,2,4,118,274,and-true,3
2,2,4,118,274,and-comm,15
2,2,4,118,274,and-assoc,15
2,2,4,118,274,filter-true,1
2,2,4,118,274,filter-merge,4
2,2,4,118,274,filter-split,8
2,2,4,118,274,pushdown-filter-proj,4
2,2,4,118,274,pushdown-filter-inner-join,8
2,2,4,118,274,pushdown-join-condition-left,1
2,2,4,118,274,pushdown-join-condition-right,2
2,2,4,118,274,pushdown-join-condition-right-1,2
2,2,4,118,274,pushdown-proj-filter,1
2,2,4,118,274,pushdown-proj-join,3
2,2,5,136,359,and-true,5
2,2,5,136,359,and-comm,25
2,2,5,136,359,and-assoc,3
2,2,5,136,359,filter-true,3
2,2,5,136,359,filter-split,10
2,2,5,136,359,pushdown-filter-proj,2
2,2,5,136,359,pushdown-filter-inner-join,3
2,2,5,136,359,pushdown-join-condition-left,3
2,2,5,136,359,pushdown-join-condition-right,4
2,2,5,136,359,identical-proj,1
2,2,5,136,359,pushdown-proj-filter,3
2,2,5,136,359,pushdown-proj-join,3
