Stage,Rule_Name,Total_Applications,Rank
3,filter-split,37,1
3,pushdown-filter-proj,21,2
3,and-comm,16,3
3,filter-merge,14,4
3,identical-proj,14,5
3,pushdown-proj-filter,13,6
3,filter-true,10,7
3,and-true,10,8
3,and-assoc,8,9
3,hash-join-on-one-eq-rev,5,10
3,pushdown-join-condition-right,4,11
3,pushdown-join-condition-left,4,12
3,hash-join-on-one-eq-1,3,13
3,inner-join-swap,3,14
3,pushdown-proj-order,2,15
3,eq-comm,2,16
3,pushdown-proj-join,2,17
3,hash-join-on-one-eq,2,18
3,inner-hash-join-swap,1,19
3,pushdown-proj-hashagg,1,20
